"","x","y"
"15x14",15,14
"15x15",15,15
"15x16",15,16
"15x17",15,17
"15x18",15,18
"15x19",15,19
"15x20",15,20
"15x21",15,21
"15x22",15,22
"15x23",15,23
"15x24",15,24
"15x25",15,25
"15x26",15,26
"15x27",15,27
"15x28",15,28
"15x29",15,29
"15x30",15,30
"15x31",15,31
"15x33",15,33
"15x34",15,34
"15x9",15,9
"16x10",16,10
"16x11",16,11
"16x12",16,12
"16x13",16,13
"16x14",16,14
"16x15",16,15
"16x16",16,16
"16x17",16,17
"16x18",16,18
"16x19",16,19
"16x20",16,20
"16x21",16,21
"16x22",16,22
"16x23",16,23
"16x24",16,24
"16x25",16,25
"16x26",16,26
"16x27",16,27
"16x28",16,28
"16x29",16,29
"16x30",16,30
"16x31",16,31
"16x32",16,32
"16x33",16,33
"16x34",16,34
"16x9",16,9
"17x10",17,10
"17x11",17,11
"17x12",17,12
"17x13",17,13
"17x14",17,14
"17x15",17,15
"17x16",17,16
"17x17",17,17
"17x18",17,18
"17x19",17,19
"17x20",17,20
"17x21",17,21
"17x22",17,22
"17x23",17,23
"17x24",17,24
"17x25",17,25
"17x26",17,26
"17x27",17,27
"17x28",17,28
"17x29",17,29
"17x30",17,30
"17x31",17,31
"17x32",17,32
"17x33",17,33
"17x9",17,9
"18x10",18,10
"18x11",18,11
"18x12",18,12
"18x13",18,13
"18x14",18,14
"18x15",18,15
"18x16",18,16
"18x17",18,17
"18x19",18,19
"18x20",18,20
"18x21",18,21
"18x22",18,22
"18x23",18,23
"18x24",18,24
"18x25",18,25
"18x26",18,26
"18x27",18,27
"18x28",18,28
"18x29",18,29
"18x30",18,30
"18x31",18,31
"18x32",18,32
"18x33",18,33
"18x9",18,9
"19x10",19,10
"19x11",19,11
"19x12",19,12
"19x13",19,13
"19x14",19,14
"19x15",19,15
"19x16",19,16
"19x17",19,17
"19x18",19,18
"19x19",19,19
"19x20",19,20
"19x21",19,21
"19x22",19,22
"19x23",19,23
"19x24",19,24
"19x25",19,25
"19x26",19,26
"19x27",19,27
"19x28",19,28
"19x29",19,29
"19x30",19,30
"19x31",19,31
"19x32",19,32
"19x9",19,9
"20x10",20,10
"20x11",20,11
"20x12",20,12
"20x13",20,13
"20x14",20,14
"20x15",20,15
"20x16",20,16
"20x17",20,17
"20x18",20,18
"20x19",20,19
"20x20",20,20
"20x21",20,21
"20x22",20,22
"20x23",20,23
"20x24",20,24
"20x25",20,25
"20x26",20,26
"20x27",20,27
"20x28",20,28
"20x29",20,29
"20x30",20,30
"20x31",20,31
"20x32",20,32
"20x9",20,9
"21x10",21,10
"21x11",21,11
"21x12",21,12
"21x13",21,13
"21x14",21,14
"21x15",21,15
"21x16",21,16
"21x17",21,17
"21x18",21,18
"21x19",21,19
"21x20",21,20
"21x21",21,21
"21x22",21,22
"21x23",21,23
"21x24",21,24
"21x25",21,25
"21x26",21,26
"21x27",21,27
"21x28",21,28
"21x29",21,29
"21x30",21,30
"21x31",21,31
"21x9",21,9
"22x10",22,10
"22x11",22,11
"22x12",22,12
"22x13",22,13
"22x14",22,14
"22x15",22,15
"22x16",22,16
"22x17",22,17
"22x18",22,18
"22x19",22,19
"22x20",22,20
"22x21",22,21
"22x22",22,22
"22x23",22,23
"22x24",22,24
"22x25",22,25
"22x26",22,26
"22x27",22,27
"22x28",22,28
"22x29",22,29
"22x30",22,30
"22x31",22,31
"22x9",22,9
"23x10",23,10
"23x11",23,11
"23x12",23,12
"23x13",23,13
"23x14",23,14
"23x15",23,15
"23x16",23,16
"23x17",23,17
"23x18",23,18
"23x19",23,19
"23x20",23,20
"23x21",23,21
"23x22",23,22
"23x23",23,23
"23x24",23,24
"23x25",23,25
"23x26",23,26
"23x27",23,27
"23x28",23,28
"23x29",23,29
"23x30",23,30
"23x31",23,31
"23x9",23,9
"24x10",24,10
"24x11",24,11
"24x12",24,12
"24x13",24,13
"24x14",24,14
"24x15",24,15
"24x16",24,16
"24x17",24,17
"24x18",24,18
"24x19",24,19
"24x20",24,20
"24x21",24,21
"24x23",24,23
"24x24",24,24
"24x25",24,25
"24x26",24,26
"24x27",24,27
"24x28",24,28
"24x29",24,29
"24x30",24,30
"24x9",24,9
"25x10",25,10
"25x11",25,11
"25x12",25,12
"25x13",25,13
"25x14",25,14
"25x15",25,15
"25x16",25,16
"25x17",25,17
"25x18",25,18
"25x19",25,19
"25x20",25,20
"25x21",25,21
"25x22",25,22
"25x23",25,23
"25x24",25,24
"25x25",25,25
"25x26",25,26
"25x27",25,27
"25x28",25,28
"25x29",25,29
"25x30",25,30
"25x9",25,9
"26x10",26,10
"26x11",26,11
"26x12",26,12
"26x13",26,13
"26x14",26,14
"26x15",26,15
"26x16",26,16
"26x17",26,17
"26x18",26,18
"26x19",26,19
"26x20",26,20
"26x21",26,21
"26x22",26,22
"26x23",26,23
"26x24",26,24
"26x25",26,25
"26x26",26,26
"26x27",26,27
"26x28",26,28
"27x10",27,10
"27x11",27,11
"27x12",27,12
"27x13",27,13
"27x14",27,14
"27x15",27,15
"27x16",27,16
"27x17",27,17
"27x18",27,18
"27x19",27,19
"27x20",27,20
"27x21",27,21
"27x22",27,22
"27x23",27,23
"27x24",27,24
"27x25",27,25
"27x26",27,26
"27x27",27,27
"27x28",27,28
"28x10",28,10
"28x11",28,11
"28x12",28,12
"28x13",28,13
"28x14",28,14
"28x15",28,15
"28x16",28,16
"28x17",28,17
"28x18",28,18
"28x19",28,19
"28x20",28,20
"28x21",28,21
"28x22",28,22
"28x23",28,23
"28x24",28,24
"28x25",28,25
"28x26",28,26
"29x10",29,10
"29x11",29,11
"29x12",29,12
"29x13",29,13
"29x14",29,14
"29x15",29,15
"29x16",29,16
"29x17",29,17
"29x18",29,18
"29x19",29,19
"29x20",29,20
"29x21",29,21
"29x22",29,22
"29x23",29,23
"29x24",29,24
"30x11",30,11
"30x12",30,12
"30x13",30,13
"30x14",30,14
"30x15",30,15
"30x16",30,16
"30x17",30,17
"30x18",30,18
"30x19",30,19
"30x20",30,20
"30x21",30,21
"30x23",30,23
"31x10",31,10
"31x11",31,11
"31x12",31,12
"31x13",31,13
"31x14",31,14
"31x15",31,15
"31x16",31,16
"31x17",31,17
"32x11",32,11
"32x12",32,12
"3x25",3,25
"3x26",3,26
"3x27",3,27
"3x28",3,28
"3x29",3,29
"3x30",3,30
"3x31",3,31
"3x32",3,32
"4x20",4,20
"4x21",4,21
"4x22",4,22
"4x23",4,23
"4x24",4,24
"4x25",4,25
"4x26",4,26
"4x27",4,27
"4x28",4,28
"4x29",4,29
"4x30",4,30
"4x31",4,31
"4x32",4,32
"5x14",5,14
"5x16",5,16
"5x17",5,17
"5x18",5,18
"5x19",5,19
"5x20",5,20
"5x21",5,21
"5x22",5,22
"5x23",5,23
"5x24",5,24
"5x25",5,25
"5x26",5,26
"5x27",5,27
"5x28",5,28
"5x29",5,29
"5x30",5,30
"5x31",5,31
"5x32",5,32
"6x10",6,10
"6x11",6,11
"6x12",6,12
"6x13",6,13
"6x14",6,14
"6x15",6,15
"6x16",6,16
"6x17",6,17
"6x18",6,18
"6x19",6,19
"6x20",6,20
"6x21",6,21
"6x22",6,22
"6x23",6,23
"6x24",6,24
"6x25",6,25
"6x26",6,26
"6x27",6,27
"6x28",6,28
"6x29",6,29
"6x30",6,30
"6x31",6,31
"6x32",6,32
"6x33",6,33
"7x10",7,10
"7x11",7,11
"7x12",7,12
"7x13",7,13
"7x14",7,14
"7x15",7,15
"7x16",7,16
"7x17",7,17
"7x18",7,18
"7x19",7,19
"7x20",7,20
"7x21",7,21
"7x22",7,22
"7x23",7,23
"7x24",7,24
"7x25",7,25
"7x26",7,26
"7x27",7,27
"7x28",7,28
"7x29",7,29
"7x30",7,30
"7x31",7,31
"7x32",7,32
"7x33",7,33
"8x10",8,10
"8x11",8,11
"8x12",8,12
"8x13",8,13
"8x14",8,14
"8x15",8,15
"8x16",8,16
"8x17",8,17
"8x18",8,18
"8x19",8,19
"8x20",8,20
"8x21",8,21
"8x22",8,22
"8x23",8,23
"8x24",8,24
"8x25",8,25
"8x26",8,26
"8x27",8,27
"8x28",8,28
"8x29",8,29
"8x30",8,30
"8x31",8,31
"8x32",8,32
"8x33",8,33
"9x10",9,10
"9x11",9,11
"9x12",9,12
"9x13",9,13
"9x14",9,14
"9x15",9,15
"9x16",9,16
"9x17",9,17
"9x18",9,18
"9x19",9,19
"9x20",9,20
"9x21",9,21
"9x22",9,22
"9x23",9,23
"9x24",9,24
"9x25",9,25
"9x26",9,26
"9x27",9,27
"9x28",9,28
"9x29",9,29
"9x30",9,30
"9x31",9,31
"9x32",9,32
"9x33",9,33
