"","eL2/3","eL4","eL5","eL6","Oligo"
"x2534y4863",0,0,0,0.8,0.2
"x3034y4863",0,0,0,0.6,0.4
"x3534y4863",0,0,0,1,0
"x4534y4863",0,0,0.333333333333333,0.666666666666667,0
"x5034y4863",0,0,0,1,0
"x5534y4863",0,0,0,1,0
"x6034y4863",0,0,0,0.666666666666667,0.333333333333333
"x6534y4863",0,0,0,1,0
"x7034y4863",0,0,0,1,0
"x7534y4863",0,0,0,1,0
"x8034y4863",0,0,0,0.5,0.5
"x8534y4863",0,0,0,1,0
"x9034y4863",0,0,0.25,0.75,0
"x9534y4863",0,0,0,1,0
"x10034y4863",0,0,0.333333333333333,0.666666666666667,0
"x10534y4863",0,0,0.666666666666667,0.333333333333333,0
"x34y5363",0,0,0,1,0
"x534y5363",0,0,0,1,0
"x1034y5363",0,0,0,1,0
"x1534y5363",0,0,0,1,0
"x2034y5363",0,0,0,1,0
"x2534y5363",0,0,0,0.833333333333333,0.166666666666667
"x3034y5363",0,0,0,0.75,0.25
"x3534y5363",0,0,0,1,0
"x4534y5363",0,0,0,0.75,0.25
"x5034y5363",0,0,0,1,0
"x5534y5363",0,0,0,1,0
"x6034y5363",0,0,0,1,0
"x6534y5363",0,0,0,1,0
"x7034y5363",0,0,0,1,0
"x8534y5363",0,0.25,0,0.25,0.5
"x9034y5363",0,0,0,1,0
"x9534y5363",0.333333333333333,0,0.333333333333333,0.333333333333333,0
"x10034y5363",0,0,0,1,0
"x34y5863",0,0,0,1,0
"x534y5863",0,0,0,1,0
"x1034y5863",0,0,0,1,0
"x1534y5863",0,0,0,1,0
"x2034y5863",0,0,0,1,0
"x2534y5863",0.25,0,0,0.75,0
"x3034y5863",0,0,0,1,0
"x3534y5863",0,0,0,1,0
"x4534y5863",0,0,0,0.666666666666667,0.333333333333333
"x5034y5863",0,0.333333333333333,0,0.666666666666667,0
"x5534y5863",0,0,0,1,0
"x6534y5863",0,0,0,1,0
"x7034y5863",0,0,1,0,0
"x7534y5863",0,0,0,1,0
"x8034y5863",0,1,0,0,0
"x8534y5863",0,0,0,0.666666666666667,0.333333333333333
"x9034y5863",0,0,0.5,0,0.5
"x9534y5863",0,0,0,1,0
"x10034y5863",0,0,1,0,0
"x10534y5863",0,0,1,0,0
"x34y6363",0,0.333333333333333,0.333333333333333,0,0.333333333333333
"x534y6363",0,0,0,0,1
"x1034y6363",0,0.5,0,0.5,0
"x1534y6363",0,0,0,1,0
"x2034y6363",0,0.333333333333333,0,0.666666666666667,0
"x2534y6363",0,0,0,0.666666666666667,0.333333333333333
"x3034y6363",0,0,0,1,0
"x3534y6363",0,0,0,0.666666666666667,0.333333333333333
"x4534y6363",0,0,0,1,0
"x5034y6363",0,0,1,0,0
"x5534y6363",0,0,1,0,0
"x6034y6363",0,0,0,0,1
"x6534y6363",0,0,0.666666666666667,0.333333333333333,0
"x7034y6363",0,0,0,0.666666666666667,0.333333333333333
"x7534y6363",0,0,1,0,0
"x8034y6363",0,0,0.5,0.5,0
"x8534y6363",0,0,0,1,0
"x9034y6363",0,0,0,0.5,0.5
"x9534y6363",0,0,0.5,0,0.5
"x10034y6363",0,0.5,0.5,0,0
"x10534y6363",0,0,1,0,0
"x34y6863",0,0,1,0,0
"x534y6863",0,0.5,0.5,0,0
"x1534y6863",0,0.333333333333333,0,0.666666666666667,0
"x2034y6863",0,1,0,0,0
"x2534y6863",0,0,0,0.8,0.2
"x3034y6863",0,0,0,1,0
"x3534y6863",0,0,0,1,0
"x5034y6863",0,0,0.25,0.5,0.25
"x5534y6863",0,0,0.25,0.5,0.25
"x6034y6863",0,0,1,0,0
"x6534y6863",0,0,0,1,0
"x7034y6863",0,0,0.333333333333333,0,0.666666666666667
"x7534y6863",0,0.5,0.5,0,0
"x8034y6863",0,0,1,0,0
"x8534y6863",0,0,1,0,0
"x9034y6863",0,0,0,1,0
"x9534y6863",0,0,1,0,0
"x10534y6863",0,1,0,0,0
"x34y7363",0,0,0,1,0
"x1034y7363",0,0,1,0,0
"x1534y7363",0,0,1,0,0
"x2034y7363",0,0,0.5,0.5,0
"x3534y7363",0,1,0,0,0
"x4534y7363",0,0.333333333333333,0.333333333333333,0,0.333333333333333
"x5034y7363",0,0,0.5,0,0.5
"x5534y7363",0,0,0.333333333333333,0,0.666666666666667
"x6534y7363",0,0,1,0,0
"x7034y7363",0,0.5,0,0.5,0
"x7534y7363",0,0,1,0,0
"x8034y7363",0,0.5,0.5,0,0
"x8534y7363",0,0.25,0.25,0,0.5
"x9034y7363",0,1,0,0,0
"x9534y7363",0,1,0,0,0
"x10534y7363",0,0.75,0,0.25,0
"x34y7863",0,0,0,1,0
"x534y7863",0,0,0,1,0
"x1034y7863",0,0,0,0,1
"x1534y7863",0,0,1,0,0
"x2034y7863",0,0,0.75,0,0.25
"x2534y7863",0,0,1,0,0
"x3034y7863",0,0,1,0,0
"x4534y7863",0,0.333333333333333,0.666666666666667,0,0
"x5034y7863",0,0,1,0,0
"x5534y7863",0,0,0.5,0.5,0
"x6034y7863",0,0,1,0,0
"x6534y7863",0,1,0,0,0
"x7034y7863",0,0.333333333333333,0.333333333333333,0.333333333333333,0
"x7534y7863",0,0.5,0,0,0.5
"x8034y7863",0,1,0,0,0
"x8534y7863",0,0.5,0,0.5,0
"x9034y7863",0,1,0,0,0
"x9534y7863",0,0.333333333333333,0.666666666666667,0,0
"x10034y7863",0,0.666666666666667,0,0,0.333333333333333
"x10534y7863",0.333333333333333,0.666666666666667,0,0,0
"x34y8363",0,0.25,0.75,0,0
"x534y8363",0,0,0,0,1
"x1034y8363",0,0,0,0,1
"x2034y8363",0,0,1,0,0
"x2534y8363",0,0,0,1,0
"x3034y8363",0,0,0,0,1
"x4534y8363",0,1,0,0,0
"x5034y8363",0.5,0,0.5,0,0
"x6034y8363",0,1,0,0,0
"x6534y8363",0,1,0,0,0
"x7034y8363",0,0.666666666666667,0,0,0.333333333333333
"x7534y8363",0,1,0,0,0
"x8034y8363",0,1,0,0,0
"x8534y8363",0,1,0,0,0
"x9034y8363",0,1,0,0,0
"x9534y8363",0,0.833333333333333,0,0,0.166666666666667
"x10034y8363",0,1,0,0,0
"x10534y8363",0,1,0,0,0
"x34y8863",0,1,0,0,0
"x534y8863",0,1,0,0,0
"x1034y8863",0,1,0,0,0
"x2034y8863",0,1,0,0,0
"x2534y8863",0,0,0.75,0.25,0
"x3034y8863",0,0,0.5,0,0.5
"x4534y8863",0,1,0,0,0
"x5034y8863",0,1,0,0,0
"x5534y8863",0,1,0,0,0
"x6034y8863",0,1,0,0,0
"x6534y8863",0,1,0,0,0
"x7034y8863",0,1,0,0,0
"x7534y8863",0,1,0,0,0
"x8034y8863",0.2,0.8,0,0,0
"x8534y8863",0,0.75,0.25,0,0
"x9034y8863",0,0.8,0,0,0.2
"x9534y8863",0,1,0,0,0
"x10034y8863",0.2,0.8,0,0,0
"x10534y8863",0,0,0,0,1
"x34y9363",0,1,0,0,0
"x534y9363",0,1,0,0,0
"x1034y9363",0,0.5,0,0,0.5
"x1534y9363",0,0,1,0,0
"x2034y9363",0,0.666666666666667,0.333333333333333,0,0
"x2534y9363",0,0,1,0,0
"x3534y9363",0,1,0,0,0
"x4534y9363",0.166666666666667,0.666666666666667,0.166666666666667,0,0
"x5034y9363",0,0,0,1,0
"x5534y9363",0,1,0,0,0
"x6034y9363",0,1,0,0,0
"x6534y9363",0,1,0,0,0
"x7034y9363",0,1,0,0,0
"x7534y9363",0,1,0,0,0
"x8034y9363",0.166666666666667,0.833333333333333,0,0,0
"x8534y9363",0.2,0.6,0,0.2,0
"x9034y9363",0.25,0.75,0,0,0
"x9534y9363",0.5,0.5,0,0,0
"x10034y9363",0.5,0.166666666666667,0,0.333333333333333,0
"x10534y9363",0,1,0,0,0
"x34y9863",0,0.75,0,0.25,0
"x534y9863",0.25,0.5,0.25,0,0
"x1034y9863",0,1,0,0,0
"x1534y9863",0.2,0.8,0,0,0
"x2034y9863",0,1,0,0,0
"x2534y9863",0,0,1,0,0
"x3034y9863",0,1,0,0,0
"x3534y9863",0,0,0,1,0
"x4534y9863",0,1,0,0,0
"x5034y9863",0.333333333333333,0.666666666666667,0,0,0
"x5534y9863",0,1,0,0,0
"x6034y9863",0,0.333333333333333,0,0.333333333333333,0.333333333333333
"x6534y9863",0,1,0,0,0
"x7034y9863",0.25,0.75,0,0,0
"x7534y9863",0,1,0,0,0
"x8034y9863",0.5,0.5,0,0,0
"x8534y9863",0,1,0,0,0
"x9034y9863",0.75,0.25,0,0,0
"x9534y9863",0.25,0.5,0,0.25,0
"x10034y9863",1,0,0,0,0
"x10534y9863",0.5,0.25,0,0.25,0
"x34y10363",0,0.6,0,0.2,0.2
"x534y10363",0,1,0,0,0
"x1034y10363",0,1,0,0,0
"x1534y10363",0,1,0,0,0
"x2034y10363",0,1,0,0,0
"x2534y10363",0.2,0.8,0,0,0
"x3034y10363",0,1,0,0,0
"x3534y10363",0,1,0,0,0
"x4534y10363",0.75,0.25,0,0,0
"x5034y10363",0.333333333333333,0.333333333333333,0.333333333333333,0,0
"x5534y10363",0.666666666666667,0.333333333333333,0,0,0
"x6034y10363",1,0,0,0,0
"x6534y10363",0,1,0,0,0
"x7034y10363",0.666666666666667,0.333333333333333,0,0,0
"x7534y10363",0,0,0,0,1
"x8034y10363",1,0,0,0,0
"x8534y10363",0.5,0,0.5,0,0
"x9034y10363",0.333333333333333,0.333333333333333,0,0,0.333333333333333
"x9534y10363",1,0,0,0,0
"x10034y10363",0.833333333333333,0.166666666666667,0,0,0
"x10534y10363",0.5,0.5,0,0,0
"x34y10863",0,1,0,0,0
"x534y10863",0.4,0.6,0,0,0
"x1034y10863",0.5,0.5,0,0,0
"x1534y10863",0.25,0.5,0.25,0,0
"x2034y10863",0,1,0,0,0
"x2534y10863",0,0.857142857142857,0.142857142857143,0,0
"x3034y10863",0,1,0,0,0
"x3534y10863",0.5,0.5,0,0,0
"x4534y10863",1,0,0,0,0
"x5034y10863",0.5,0.5,0,0,0
"x5534y10863",0.5,0.5,0,0,0
"x6034y10863",0.333333333333333,0,0.333333333333333,0.333333333333333,0
"x6534y10863",1,0,0,0,0
"x7034y10863",0.75,0.25,0,0,0
"x7534y10863",1,0,0,0,0
"x8034y10863",1,0,0,0,0
"x8534y10863",1,0,0,0,0
"x9034y10863",0.333333333333333,0,0,0.666666666666667,0
"x9534y10863",0.5,0,0,0.5,0
"x10034y10863",1,0,0,0,0
"x10534y10863",0.5,0,0,0.5,0
"x34y11363",1,0,0,0,0
"x534y11363",0,1,0,0,0
"x1034y11363",0.25,0.5,0,0,0.25
"x1534y11363",1,0,0,0,0
"x2034y11363",0,1,0,0,0
"x2534y11363",0.333333333333333,0.333333333333333,0.333333333333333,0,0
"x3034y11363",0.25,0.75,0,0,0
"x3534y11363",0,0.666666666666667,0,0,0.333333333333333
"x4534y11363",1,0,0,0,0
"x5034y11363",0.75,0,0,0.25,0
"x5534y11363",1,0,0,0,0
"x6034y11363",0.333333333333333,0,0,0.666666666666667,0
"x6534y11363",0.666666666666667,0.333333333333333,0,0,0
"x7034y11363",0.666666666666667,0,0,0,0.333333333333333
"x7534y11363",1,0,0,0,0
"x8034y11363",1,0,0,0,0
"x8534y11363",1,0,0,0,0
"x9034y11363",0.5,0,0,0.5,0
"x9534y11363",1,0,0,0,0
"x10034y11363",1,0,0,0,0
"x10534y11363",1,0,0,0,0
"x34y11863",1,0,0,0,0
"x534y11863",0.666666666666667,0.333333333333333,0,0,0
"x1034y11863",0.333333333333333,0.333333333333333,0,0,0.333333333333333
"x1534y11863",0.333333333333333,0.666666666666667,0,0,0
"x2034y11863",0.333333333333333,0.333333333333333,0,0,0.333333333333333
"x2534y11863",0.666666666666667,0.333333333333333,0,0,0
"x3034y11863",0,1,0,0,0
"x3534y11863",0.5,0.5,0,0,0
"x4534y11863",1,0,0,0,0
"x5034y11863",1,0,0,0,0
"x5534y11863",1,0,0,0,0
"x6034y11863",1,0,0,0,0
"x6534y11863",0.5,0.25,0,0,0.25
"x7034y11863",1,0,0,0,0
"x8034y11863",1,0,0,0,0
"x8534y11863",1,0,0,0,0
"x9034y11863",1,0,0,0,0
"x9534y11863",1,0,0,0,0
"x10034y11863",0.5,0,0,0.5,0
"x10534y11863",1,0,0,0,0
"x34y12363",1,0,0,0,0
"x1034y12363",0,1,0,0,0
"x1534y12363",1,0,0,0,0
"x2034y12363",0.333333333333333,0.333333333333333,0,0,0.333333333333333
"x2534y12363",0.333333333333333,0.666666666666667,0,0,0
"x3034y12363",0,0.333333333333333,0,0.333333333333333,0.333333333333333
"x3534y12363",0,1,0,0,0
"x4534y12363",0,0.5,0,0.5,0
"x5034y12363",1,0,0,0,0
"x5534y12363",0.5,0.25,0,0.25,0
"x6034y12363",1,0,0,0,0
"x6534y12363",0.75,0.25,0,0,0
"x7034y12363",0.8,0.2,0,0,0
"x7534y12363",1,0,0,0,0
"x8034y12363",0,0,0,1,0
"x8534y12363",1,0,0,0,0
"x9034y12363",1,0,0,0,0
"x9534y12363",0.666666666666667,0.333333333333333,0,0,0
"x10034y12363",0.75,0,0,0.25,0
"x10534y12363",1,0,0,0,0
"x34y12863",0.5,0.5,0,0,0
"x534y12863",0.5,0.5,0,0,0
"x1034y12863",1,0,0,0,0
"x1534y12863",0.666666666666667,0,0,0,0.333333333333333
"x2034y12863",1,0,0,0,0
"x2534y12863",1,0,0,0,0
"x3034y12863",1,0,0,0,0
"x3534y12863",1,0,0,0,0
"x4534y12863",0.5,0,0,0.5,0
"x5034y12863",1,0,0,0,0
"x5534y12863",0.333333333333333,0,0,0.333333333333333,0.333333333333333
"x6034y12863",1,0,0,0,0
"x6534y12863",1,0,0,0,0
"x7034y12863",1,0,0,0,0
"x7534y12863",1,0,0,0,0
"x8034y12863",1,0,0,0,0
"x9034y12863",1,0,0,0,0
"x34y13363",1,0,0,0,0
"x534y13363",1,0,0,0,0
"x1034y13363",1,0,0,0,0
"x1534y13363",1,0,0,0,0
"x2034y13363",0.5,0,0,0.5,0
"x2534y13363",1,0,0,0,0
"x3034y13363",1,0,0,0,0
"x3534y13363",1,0,0,0,0
"x4534y13363",0.5,0.5,0,0,0
"x5034y13363",1,0,0,0,0
"x9034y13363",0,0,0,1,0
"x34y13863",1,0,0,0,0
"x534y13863",0.75,0.25,0,0,0
"x1034y13863",1,0,0,0,0
"x1534y13863",1,0,0,0,0
"x2034y13863",1,0,0,0,0
"x2534y13863",1,0,0,0,0
"x3034y13863",1,0,0,0,0
"x3534y13863",0.666666666666667,0.333333333333333,0,0,0
"x7034y13863",0,0,0,0,1
"x7534y13863",0,0,0,0,1
"x1034y14363",1,0,0,0,0
"x1534y14363",1,0,0,0,0
"x2034y14363",1,0,0,0,0
"x2534y14363",0.8,0,0,0,0.2
"x3034y14363",1,0,0,0,0
"x3534y14363",0.5,0.5,0,0,0
"x2034y14863",1,0,0,0,0
"x2534y14863",1,0,0,0,0
"x3034y14863",0.8,0.2,0,0,0
"x3034y15363",1,0,0,0,0
"x3534y15363",0.666666666666667,0.333333333333333,0,0,0
"x1534y15863",0,0,0,1,0
